label,accuracy,precision,recall,f1,mcc,mae,exact_rate,specificity,balanced_accuracy,species
baseline                 ,0.4898477157360406,0.417391304347826,1.0,0.588957055214724,0.2860221943349395,32.395833333333336,0.6649305555555556,0.196,0.598, Arabidopsis (Plant - Held-out Region)
hmm_stride1              ,0.8001269035532995,0.7636363636363637,0.65625,0.7058823529411765,0.559481781439315,17.849206349206348,0.4427083333333333,0.883,0.769625, Arabidopsis (Plant - Held-out Region)
hmm_tokenized            ,0.8280456852791879,0.8080808080808081,0.6944444444444444,0.7469654528478058,0.621934623368898,5.385,0.6041666666666666,0.905,0.7997222222222222, Arabidopsis (Plant - Held-out Region)
logistic_regression      ,0.6618020304568528,0.5194922937443336,0.9947916666666666,0.6825491363907088,0.488372552812605,9.340314136125654,0.7760416666666666,0.47,0.7323958333333334, Arabidopsis (Plant - Held-out Region)
logistic_regression_codon,0.7049492385786802,0.553623188405797,0.9947916666666666,0.7113594040968343,0.5403807350527151,8.12565445026178,0.8142361111111112,0.538,0.7663958333333334, Arabidopsis (Plant - Held-out Region)
meta_router              ,0.741751269035533,0.7682539682539683,0.4201388888888889,0.5432098765432098,0.4180244562019475,5.491735537190083,0.3559027777777778,0.927,0.6735694444444444, Arabidopsis (Plant - Held-out Region)
naive                    ,0.3794416243654822,0.3706563706563706,1.0,0.5408450704225352,0.0903019388188324,33.375,0.5329861111111112,0.022,0.511, Arabidopsis (Plant - Held-out Region)
v1                       ,0.5253807106598984,0.4350453172205438,1.0,0.6063157894736843,0.3311063574436121,18.541666666666668,0.7291666666666666,0.252,0.626, Arabidopsis (Plant - Held-out Region)
v2                       ,0.6770304568527918,0.5348595213319459,0.8923611111111112,0.6688353936239427,0.439667416797613,6.963035019455253,0.7274305555555556,0.553,0.7226805555555555, Arabidopsis (Plant - Held-out Region)
v3                       ,0.6243654822335025,0.4931389365351629,0.9982638888888888,0.6601607347876005,0.4470395446686745,6.657391304347826,0.8263888888888888,0.409,0.7036319444444444, Arabidopsis (Plant - Held-out Region)
