label,accuracy,precision,recall,f1,mcc,mae,exact_rate,specificity,balanced_accuracy,species
v3,0.5896946564885496,0.09188034188034189,0.8958333333333334,0.16666666666666666,0.19799348370426392,2.372093023255814,0.8333333333333334,0.575,0.7354166666666666,Human (Mammal - Held-out Region)
v3,0.6832174776564052,0.02147239263803681,1.0,0.042042042042042045,0.1209243539842288,8.142857142857142,0.7142857142857143,0.681,0.8405,Mouse (Mammal - Held-out Region)
v3,0.6243654822335025,0.4931506849315068,1.0,0.6605504587155964,0.44855933771581974,6.432291666666667,0.8368055555555556,0.408,0.704,Arabidopsis (Plant - Held-out Region)
v3,0.6714542190305206,0.5683962264150944,1.0,0.724812030075188,0.4891114978410107,6.970954356846473,0.8630705394190872,0.4208860759493671,0.7104430379746836,Yeast (Fungi - Unseen Clade)
v3,0.6477052359405301,0.5009225092250923,0.9926873857404022,0.6658491722869405,0.47154863144637993,5.983425414364641,0.8537477148080439,0.459,0.7258436928702011,Worm (Nematode - Unseen Clade)
v3,0.6887786732796032,0.5497757847533632,1.0,0.7094907407407407,0.5232478770211828,5.412724306688418,0.8874388254486134,0.498,0.749,GUE C. elegans Histone (Nematode)
