label                    , accuracy          , precision         , recall            , f1                , mcc                , mae               , exact_rate        , specificity       , balanced_accuracy , species
naive                    , 0.4470377019748653, 0.4389799635701275, 1.0               , 0.610126582278481 , 0.1054201916107333 , 32.21576763485477 , 0.5145228215767634, 0.0253164556962025, 0.5126582278481012, Yeast (Fungi - Unseen Clade)
naive                    , 0.3691014867485456, 0.3591595535128036, 1.0               , 0.5285024154589372, 0.0928430357340134 , 30.372943327239486, 0.5758683729433273, 0.024             , 0.512             , Worm (Nematode - Unseen Clade)
naive                    , 0.4135151890886547, 0.3932007697241821, 1.0               , 0.5644567219152854, 0.1457149325398939 , 31.39477977161501 , 0.5709624796084829, 0.054             , 0.527             , GUE C. elegans Histone (Nematode)
v1                       , 0.3072519083969465, 0.0620155038759689, 1.0               , 0.1167883211678832, 0.130354317389243  ,  8.5              , 0.875             , 0.274             , 0.637             , Human (Mammal - Held-out Region)
v1                       , 0.2234359483614697, 0.008871989860583 , 1.0               , 0.0175879396984924, 0.0439783331835927 , 25.285714285714285, 0.5714285714285714, 0.218             , 0.609             , Mouse (Mammal - Held-out Region)
v1                       , 0.5253807106598984, 0.4350453172205438, 1.0               , 0.6063157894736843, 0.3311063574436121 , 18.541666666666668, 0.7291666666666666, 0.252             , 0.626             , Arabidopsis (Plant - Held-out Region)
v1                       , 0.5763016157989228, 0.5052410901467506, 1.0               , 0.6713091922005571, 0.3576438685983765 , 16.244813278008298, 0.7842323651452282, 0.2531645569620253, 0.6265822784810127, Yeast (Fungi - Unseen Clade)
v1                       , 0.5384615384615384, 0.4337827121332276, 1.0               , 0.6050884955752213, 0.3522241554324505 , 15.773308957952468, 0.7806215722120659, 0.286             , 0.643             , Worm (Nematode - Unseen Clade)
v1                       , 0.5945443273403596, 0.4838200473559589, 1.0               , 0.652127659574468 , 0.4091475728696943 , 16.071778140293638, 0.7944535073409462, 0.346             , 0.673             , GUE C. elegans Histone (Nematode)
v2                       , 0.6374045801526718, 0.0970873786407767, 0.8333333333333334, 0.1739130434782608, 0.1974505229227383 ,  2.55             , 0.7708333333333334, 0.628             , 0.7306666666666667, Human (Mammal - Held-out Region)
