label,accuracy,precision,recall,f1,mcc,mae,exact_rate,specificity,balanced_accuracy,species
v1,0.3330152671755725,0.0642570281124498,1.0,0.12075471698113208,0.13907323776286862,8.5,0.875,0.301,0.6505,Human (Mammal - Held-out Region)
v1,0.21847070506454816,0.008816120906801008,1.0,0.017478152309612985,0.043333979198183666,24.428571428571427,0.5714285714285714,0.213,0.6065,Mouse (Mammal - Held-out Region)
v1,0.5253807106598984,0.4350453172205438,1.0,0.6063157894736843,0.33110635744361216,15.229166666666666,0.7604166666666666,0.252,0.626,Arabidopsis (Plant - Held-out Region)
v1,0.5763016157989228,0.5052410901467506,1.0,0.6713091922005571,0.3576438685983765,16.244813278008298,0.7842323651452282,0.25316455696202533,0.6265822784810127,Yeast (Fungi - Unseen Clade)
v1,0.5384615384615384,0.4337827121332276,1.0,0.6050884955752213,0.35222415543245056,15.773308957952468,0.7806215722120659,0.286,0.643,Worm (Nematode - Unseen Clade)
v1,0.5945443273403596,0.48382004735595896,1.0,0.652127659574468,0.4091475728696943,16.071778140293638,0.7944535073409462,0.346,0.673,GUE C. elegans Histone (Nematode)
