label,accuracy,precision,recall,f1,mcc,mae,exact_rate,specificity,balanced_accuracy,species
v2,0.5658396946564885,0.09218436873747494,0.9583333333333334,0.16819012797074953,0.21152520286063814,1.173913043478261,0.9166666666666666,0.547,0.7526666666666667,Human (Mammal - Held-out Region)
v2,0.5332671300893744,0.010570824524312896,0.7142857142857143,0.020833333333333332,0.041000300767127,11.4,0.42857142857142855,0.532,0.6231428571428572,Mouse (Mammal - Held-out Region)
v2,0.6859137055837563,0.5413687436159347,0.9201388888888888,0.6816720257234726,0.46771541497316804,6.469811320754717,0.7552083333333334,0.551,0.7355694444444445,Arabidopsis (Plant - Held-out Region)
v2,0.6983842010771992,0.596816976127321,0.9336099585062241,0.7281553398058253,0.4794652031374892,6.8,0.8091286307053942,0.5189873417721519,0.7262986501391879,Yeast (Fungi - Unseen Clade)
v2,0.669683257918552,0.5184804928131417,0.923217550274223,0.6640368178829718,0.44967711338933386,5.928712871287129,0.7989031078610603,0.531,0.7271087751371115,Worm (Nematode - Unseen Clade)
v2,0.7042777433353998,0.5695296523517382,0.9086460032626428,0.700188560653677,0.48448308210540775,6.55475763016158,0.7944535073409462,0.579,0.7438230016313214,GUE C. elegans Histone (Nematode)
